2021-08-31 15:52:25,903 INFO: {'Rotation': 0.0000, 'Motors': ('PWR','PWR','PWR','PWR'), 'Status': 'No Data Recieved.'}
2021-08-31 15:53:43,922 INFO: {'Rotation': -98.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,990 INFO: {'Rotation': -96.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,059 INFO: {'Rotation': -94.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,110 INFO: {'Rotation': -92.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,179 INFO: {'Rotation': -90.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,246 INFO: {'Rotation': -88.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,307 INFO: {'Rotation': -86.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,366 INFO: {'Rotation': -84.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,417 INFO: {'Rotation': -82.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,485 INFO: {'Rotation': -80.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,550 INFO: {'Rotation': -78.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,616 INFO: {'Rotation': -76.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,667 INFO: {'Rotation': -74.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,733 INFO: {'Rotation': -72.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,793 INFO: {'Rotation': -70.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,855 INFO: {'Rotation': -68.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
